"company","Company_Status","location","location_Status","industry","Industry_Status","total_laid_off","layoffs_Status","percentage_laid_off","Percentage_Status","date","Date_Status","year","Year_Status","Month","Month_Status","stage","country","funds_raised_millions","Funds_Status"
"ASSURE","Reported","SALT LAKE CITY","Reported","FINANCE","Reported","0","missing","1.00","Reported","2022-11-23","Reported","2022","Reported","11","Reported","SEED","UNITED STATES","2.00","Reported"
"ASTRA","Reported","SF BAY AREA","Reported","AEROSPACE","Reported","0","missing","0.16","Reported","2022-11-08","Reported","2022","Reported","11","Reported","POST-IPO","UNITED STATES","300.00","Reported"
"ASTRA","Reported","SF BAY AREA","Reported","AEROSPACE","Reported","40","Reported","0.25","Reported","2020-04-05","Reported","2020","Reported","4","Reported","UNKNOWN","UNITED STATES","100.00","Reported"
"ASTRONOMER","Reported","CINCINNATI","Reported","DATA","Reported","76","Reported","0.20","Reported","2023-01-04","Reported","2023","Reported","1","Reported","SERIES C","UNITED STATES","282.00","Reported"
"ATLANTA TECH VILLAGE","Reported","ATLANTA","Reported","REAL ESTATE","Reported","0","missing","0.50","Reported","2020-04-02","Reported","2020","Reported","4","Reported","UNKNOWN","UNITED STATES","0.00","missing"
"ATLAS OBSCURA","Reported","NEW YORK CITY","Reported","MEDIA","Reported","15","Reported","0.00","missing","2020-06-18","Reported","2020","Reported","6","Reported","SERIES B","UNITED STATES","32.00","Reported"
"ATLASSIAN","Reported","SYDNEY","Reported","OTHER","Reported","500","Reported","0.05","Reported","2023-03-06","Reported","2023","Reported","3","Reported","POST-IPO","AUSTRALIA","210.00","Reported"
"ATOB","Reported","SF BAY AREA","Reported","FINANCE","Reported","32","Reported","0.30","Reported","2022-10-19","Reported","2022","Reported","10","Reported","SERIES B","UNITED STATES","177.00","Reported"
"ATOME","Reported","SINGAPORE","Reported","FINANCE","Reported","0","missing","0.00","missing","2022-10-06","Reported","2022","Reported","10","Reported","UNKNOWN","SINGAPORE","645.00","Reported"
"ATSU","Reported","SEATTLE","Reported","INFRASTRUCTURE","Reported","6","Reported","1.00","Reported","2020-04-10","Reported","2020","Reported","4","Reported","UNKNOWN","UNITED STATES","1.00","Reported"
"ATTENTIVE","Reported","NEW YORK CITY","Reported","MARKETING","Reported","0","missing","0.15","Reported","2023-01-05","Reported","2023","Reported","1","Reported","SERIES E","UNITED STATES","863.00","Reported"
"AU10TIX","Reported","TEL AVIV","Reported","SECURITY","Reported","19","Reported","0.09","Reported","2023-01-31","Reported","2023","Reported","1","Reported","UNKNOWN","ISRAEL","80.00","Reported"
"AUGURY","Reported","NEW YORK CITY","Reported","MANUFACTURING","Reported","20","Reported","0.05","Reported","2023-01-04","Reported","2023","Reported","1","Reported","SERIES E","UNITED STATES","274.00","Reported"
"AURA","Reported","BOSTON","Reported","SECURITY","Reported","70","Reported","0.09","Reported","2022-06-23","Reported","2022","Reported","6","Reported","SERIES F","UNITED STATES","500.00","Reported"
"AURA FINANCIAL","Reported","SF BAY AREA","Reported","FINANCE","Reported","0","missing","0.00","missing","2020-04-14","Reported","2020","Reported","4","Reported","UNKNOWN","UNITED STATES","584.00","Reported"
